acetylene polymer,polimero de acetileno,
acetylene tetrabromide,tetrabromuro de acetileno,
acetylene tetrachloride,tetracloruro de acetileno,
acetylenogen,acetilenógeno,
N-acetylethanolamine,N-acetiletanolamina,
acetylethanoltrimethylammonium hydroxide,idróxido de acetiletanol-trimetilamonio,
acetylferrocene,acetilferroceno,
acetylformic acid,ácido acetilfórmico,
acetyl iodide,yoduro de acetilo,
acetylisoeugenol,acetilisoeugenol,
acetyl ketene,acetilcetena,
acetylmethylcarbinol,acetilmetilcarbinol,
acetyl nitrate,nitrato de acetilo,
acetyl oxide,óxido de acetilo,
acetyl peroxide,peróxido de acetilo,
acetylpheneddin,acetilfenetidina,
acetylphenol,acetilfenol,
N-acetyl-p-phenylenediamine,N-acetil-p-fenilendiamina,
acetylpropionic acid,ácido acetilpropiónico,
acetyl propionyl,acetilpropionilo,
4-acetylresorcinol,4-acetilresorcinol,
acetylsalicylic acid,ácido acetilsalicifco,
N-acetylsulfanilyl chloride,cloruro de N-acetilsulfanililo,
2-acetylthiophene,2-acetiltiofeno,
acetyl-o-toluidine,acetil-o-toluidina,
acetyl-p-toluidine,acetil-p-toluidina,
acetyl triallyl citrate,citrato de acetil trialilo,
acetyl tributyl citrate,citrato de acetil tributilo,
acetyl triethyl citrate,citrato de acetil trietilo,
acetyl tri-2-ethylhexyl citrate,citrato de acetil tri-2-etilhexilo,
N-acetyltryptophan,N-acetiltriptófano,
acetyl valeryl,valeriato de acetilo,
acetyl value,indice de acetilo,
acicular,acicular,
acid,ácido,
"1,2,4-acid","ácido 1,2,4",
"1,8,2,4-acid","ácido 1,8,2,4",
acid amide,amida de un ácido,
acid ammonium sulfate,sulfato amónico ácido,
acid ammonium tartrate,tartrato amónico ácido,
acid anhydride,anhídrido de ácido,
Acid Black 2,negro ácido 2,
acid calcium phosphate,fosfato ácido cdlcico,
acid dye,colorante ácido,
acid ethylsulfate,sulfato ácido de etilo,
acid fungal protease,proteasa de hongos ácida,
acid glaucine blue,azul ácido de glaucina,
"acid, hard",ácido fuerte,
acidic oxide,óxido ácido,
acidimetry,acidimetría,
acid lining,revestimiento ácido,
acid magnesium citrate,citrato ácido de magnesio,
acid magnesium phosphate,fosfato ácido de magnesio,
acid methyl sulfate,sulfato ácido de metilo,
acid mine drainage,drenaje ácido de mina,
acid number,indice de acidez,
acid phosphatase,fosfatasa ácida,
acid phosphate,fosfato ácido,
acid potassium oxalate,oxalato ácido de potasio,
acid potassium sulfate,sulfato ácido de potasio,
acid precipitation,precipitación ácida,
acid rain,lluvia ácida,
"acid, soft",ácido débil,
acidulant,acidulante,
acid value,indice de ácido,
Acid Yellow 9,amarillo ácido 9,
"acifuorfen, sodium salt","acifluorfeno, sal sódica",
aconite,acónito,
aconitic acid,ácido aconitico,
aconitine,aconitina,
acraldehyde,acraldehido,
acridine,acridina,
acridine orange,naranja de acridina,
acriflavine,acriflavina,
acroleic acid,ácido acroleico,
acrolein,acroleina,
acrolein dimer,dimero acroleina,
ACR process,proceso ACR,
acrylaldehyde,aldehido acrílico,
acrylamide,acrilamida,
acrylate,acrilato,
acrylic acid,ácido acrílico,
acrylic fiber,fibra acrílica,
acrylic resin,resina acrílica,
"""Acryloid"" coating resins","""Acryloid"", resinas para revestimientos",
"""Acryloid"" modifiers","""Acryloid"", modificadores",
"""Acryloid"", oil additives","""Acryloid"", aditivos para aceites",
acrylonitrile acrilonitrilo,propenonitrilo; cianuro vinílico,
acrylonitrile-butadiene rubber,caucho de acrilonitrilo-butadieno,
acrylonitrile-butadiene-styrene resin,resinas de acrilonitrilo-butadieno-estireno,
acrylonitrile dimer,acrilonitrilo dimero,
acrylonitrile-styrene copolymer,"acrilonitrilo- estireno, copolimero",
acryloyl chloride,cloruro de acriloilo,
actinide series  ,serie de los actinidos,
actinium,actinio,
actinomycin,actinomicina,
activated alumina,alúmina activada,
activated carbon,carbón activo,
activated sludge,barro activado,
activation,activación,
activation analysis,análisis por activación,
activator,activador,
active amyl alcohol,alcohol activo amilico,
active carbon,carbono activo,
activity,actividad,
activity series,serie de actividad,
acyl,acilo,
1-adamantamine hydrochloride,clorhidrato de 1-adamantamina,
adamantane,adamantano,
adamsite,adamasita,
addition polymer,polímero de adición,
additive,aditivo,
adduct,aducto,
adenine,adenina,
adenosine,adenosina,
adenosine diphosphate,difosfato de adenosine,
adenosine monophosphate,monofosfato de adenosina,
adenosine phosphate,fosfato de adenosina,
3'-adenylic acid,Acido 3'-adenilico,
5'-adenylic acid,ácido 5'-adenilico,
adhesion,adhesión,
adhesive,adhesivo,
"adhesives, high-temperature",adhesivos de alta temperatura,
"adhesive, hot-melt",adhesivo de fusión en caliente,
"adhesive, rubber-based",adhesivo a base de caucho,
adiabatic,adiabático,
adipic acid,ácido adipico,
adiponitrile,adiponitrilo,
adjuvant,adyuvante,
Adkins catalyst,catalizador de Adkins,
Adkins-Peterson reaction,reacción de Adkins-Peterson,
"admiralty, metal",metal almirantazgo,
adocain,adocaina,
adrenaline,adrenalina,
adrenocorticotropic hormone,hormona adrenocorticotrópica,
adsorbent,adsorbente,
adsorption,adsorción,
adsorption indicator,indicador de adsorción,
aerate,airear,
aerobic,aerobio,
aerogel,aerogel,
aerosol,aerosol,
aerosols,aerosoles,
aerozine,aerocina,
affinin,afinina,
affinity,afinidad,
aflatoxins,aflatoxinas,
after-chromed dye,colorantes cromados ulteriormente,
agar,agar,
ageing,envejecimiento,
agent orange,agente naranja,
age-resister,preservador del envejecimiento,
agglomeration,aglomeración,
agglutination,agglutination,
aggregate,aggregate,
aggregation,aggregation,
agitator,agitator,
aglucone,aglucone,
aglycone,aglycone,
agricultural chemical product,producto quimico para la agricultura,
air,aire,
air classification,clasificación por aire,
air floatation elutriación,elutriación,
air gas gas de aire, gas de aire,
air knife cuchillo de aire,cuchillo de aire,
air pollution polución del aire,polución del aire,
Akabori amino acid reactions,reacciones de aminoácidos Akabori,
alabaster,alabastro,
alanine,alanina,
?3-alanine,? -alanina,
alanosine alanosina,alanosine alanosina,
? -alanylhistidine,? -alanilhistidina,
alarmona,alarmona,
albumen,albumen(a),
albumin,albúmina,
"albumin, egg",albúmina de huevo,
"albumin, milk",albúmina de leche,
alchemy,alquimia,
alcian blue,azul de alciano,
Alcoa process,proceso Alcoa,
alcohol,alcohol,
"alcohol, absolute",alcohol absoluto,
alcohol dehydrogenase,alcohol deshidrogenasa,
"alcohol, denatured",alcohol desnaturalizado,
alcohol grain,alcohol de cereales,
"alcohol, industrial",alcohol industrial,
alcoholysis,alcoholisis,
"alcohol, wood",alcohol de madera,
aldehyde,aldehído,
aldebyde ammonia,aldehidato amónico,
aldehyde collidine,aldehído colidina,
aldehydine,aldehidina,
aldicarb,aldicarb,
aldol,aldol,
aldolase,aldolasa,
aldol condensation,condensación aldólica,
aldo-a-naphthylamine condensate,condensado de aldol-a-naftilamina,
aldose,aldosa,
aldosterone,aldosterona,
aldrin,aldrina,
aleuritic acid,ácido aleurítico,
alfin,alfina,
Algar-Flynn-Oyamada reaction,reacción de Algar-Flynn-Oyamada,
algicide,algicida,
algin,algina,
alginate,alginato,
alginic acid,ácido algínico,
alicyclic,alicíclicos,
aliphatic ,alifáticos,
aliquot,alícuota,
alizarin,alizarina,
alizarin blue,azul de alizarina,
alizarin yellow R,amarillo R de alizarina,
alkadiene,alcadieno,
alkali,álcali,
alkali blue,azul alcalino,
alkali cellulose ,celulosa alcalina,
alkali metal s,metales alcalinos,
alkalimetry ,alcalimetría,
alkaline earth ,tierras alcalinas,
alkaline-earth metals,metales alcalinotérreos,
alkaloid, alcaloide,
alkane ,alcano,
alkanolamine,alcanolamina,
alkene alqueno,alqueno,
alkoxyaluminum hydrides hidruros de alcoxialuminio -,hidruros de alcoxialuminio -,
alkyd resin resina alquídica,resina alquídica,
alkyl alquil,alquil,
alkylaryl polyethyleneglycol ether,éter alquilarílico de polietilenglicol,
alkylaryl sulfonate,sulfonatos de alquilarilo,
alkylate alquilado,alquilado,
alkylation alquilación,alquilación,
alkylbenzene sulfonate,sulfonato de alquilbenceno,
alkyldimethylbenzylammonium chloride,cloruro de alquildimetil-bencilamonio,
alkyl fluorophosphate,fluofosfato de alquilo,
alkylolamine,alquilolamina,
alkyl sulfonate,alquilsulfonato,
Allan-Robinson reaction,reacción de Allan- Robinson,
allantoin,alantoína,
allele,alelos,
allelopathic chemical,producto quimico alelopático,
aliene,aleno,
allergen,alergeno,
allethrin,aletrina (o aletrin),
allicin,alicina,
alligatoring,cuarteado,
allo-,alo-,
allomaleic acid ,alomaleico,
allomerism,alomeria,
alloocimene,aloocimeno,
allophanamide,alofanamida,
allophanate,alofanato,
-D-allose ,D-alosa,
allothreonine ,alo-treonina,
allotropy,alotropia,
alloxan,aloxana,
alloy al,aleación,
"alloy, fusible",aleación fusible,
alloy steel,acero aleado,
allylacetone,alilacetona,
allyl acrylate,acrilato de alilo,
allyl alcohol,"alilico, alcohol",
allylamine,alilamina,
allyl bromide,bromuro de alilo,
allyl carbarnate,carbamato de alilo,
allyl chloride,cloruro de alilo,
allyl diglycol carbonate,carbonato de alil diglicol,
"4-allyl-1,2-dimethoxybenzene","4-alil-1,2-dimetoxibenceno",
allylene ,alileno,
"2-allyl-2-ethyl-1,3-propanediol","2-alil-2-etil-1,3-propanodiol",
allyl glycidyl ether,"allyl glycidyl ether alil glicidilico, éter",
1-allyl-4-hydroxybenzene 1,1-alil-4-hidroxibenceno,
allylic rearrangements,reordenaciones alilicas,
allyl-a-ionone,alil-a-ionona,
5-allyl-5-isobutylbarbituric acid,Acido 5-alil-5-isobutilbarbitúrico,
allyl isocyanate,isocianato de alilo,
allyl isothiocyanate,isotiocianato de alilo,
allyl mercaptan,alilmercaptano,
allyl methacrylate,metracrilato de alilo,
4-allyl-2-methoxyphenol,4-alil-2-metoxifenol,
"4-allyl-1,2-methylenedioxybenzene","4-alil-1,2-metilendioxibenceno",
allyl pelargonate,pelargonato de alilo,
allyl propyl disulfide,disulfuro de alil propilo,
p-allylphenol,p-alilfenol,
allyl resins,resina alilica,
allyl sulfide,sulfuro de alilo,
allyl thiol,aliltiol,
allylthiourea,aliltiourea,
allyltrichlorosilane,aliltriclorosilano,
4-allyl veratrole,4-alil-veratrol,
almond oil,aceite de almendras,
alnico,alnico,
aloin,aloina,
alpaca,alpaca,
alpha,alfa,
alpha-cellulose,celulosa alfa,
alpha particle ,particula alfa,
altheine,alteina,
alum alumbre,alumbre,
"alum, burnt",alumbre calcinado,
"alum, chrome",alumbre de cromo,
"alum, chrome ammonium",alumbre de cromo y amonio,
alumina,alúmina,
"alumina, activated",alúmina activada,
alumina fused,alúmina fundida,
alumina gel,gel de alúmina,
alumina-silica fiber,fibra de alúmina-silice,
alumina trihydrate,trihidrato de alúmina,
aluminon,aluminon,
aluminosilicate,aluminosilicato,
aluminum,aluminio,
aluminum acetate ,acetato aluminico,
aluminum acetylacetonate,acetilacetonato aluminico,
aluminum alkyl,aluminum alkyl,
aluminum alloy,aluminum alloy,
aluminum ammonium chloride,aluminum ammonium chloride,
aluminum ammonium sulfate,aluminum ammonium sulfate,
aluminum anodized,aluminum anodized,
aluminum antimonide,aluminum antimonide,
aluminum arsenide,aluminum arsenide,
aluminum borate,aluminum borate,
aluminum boride,aluminum boride,
aluminum borohydride,aluminum borohydride,
aluminum brass,aluminum brass,
aluminum bromide,aluminum bromide,
aluminum bronze,aluminum bronze,
aluminum-n-butoxide,aluminum-n-butoxide,
aluminum calcium hydride,hidruro cdIcico aluminico,
aluminum carbide,carburo aluminico,
aluminum carbonate,carbonato aluminico,
aluminum chlorate,clorato aluminico,
"aluminum chloride, anhydrous",cloruro aluminico anhidro,
aluminum chloride hydrate,cloruro aluminico hidratado,
aluminum chlorohydrate,clorhidrato aluminico,
aluminum diacetate,diacetato aluminico,
aluminum diethyl monochloride,dietilmonocloruro aluminico,
aluminum diformate,diformiato aluminico,
aluminum distearate,diestearato aluminico,
aluminum ethylate,etilato aluminico,
aluminum ethylhexoate,etilhexoato aluminico,
"aluminum fluoride, aluminico anhidro",fluoruro aluminico anhidro,
"aluminum fluoride, hydrate",fluoruro aluminico hidratado,
aluminum fluosilicate,fluosifcato aluminico,
aluminum formate,formiato aluminico,
"aluminum formate, basic",formiato aluminico básico,
"aluminum formate, normal",formiato normal aluminico,
aluminum formoacetate,formoacetato aluminico,
aluminum hydrate,hidrato de aluminio,
aluminum hydride,hidruro aluminico,
aluminum hydroxide,hidróxido aluminico,
aluminum hydroxide gel,gel de hidróxido aluminico,
aluminum hydroxistearate,hidroxiestearato aluminico,
aluminum hypophosphite,hipofosfito aluminico,
aluminum iodide,yoduro aluminico,
aluminum isopropoxide,isopropóxido aluminico,
aluminum isopropylate,isopropilato aluminico,
aluminum lactate,lactato aluminico,
aluminum metaphosphate,metafosfato aluminico,
aluminum monobasic stearate,estearato aluminico monobdsico,
aluminum monopalmitate,monopalmitato aluminico,
aluminum monostearate,monoestearato aluminico,
aluminum naphthenate,naftenato aluminico,
aluminum nitrate,nitrato aluminico,
aluminum nitride,nitruro aluminico,
aluminum oleate,oleato aluminico,
aluminum orthophosphate,ortofosfato aluminico,
aluminum oxalate,oxalato aluminico,
aluminum oxide,óxido aluminico,
"aluminum oxide, hydrated",óxido aluminico hidratado,
"aluminum oxide, hydrous",óxido aluminico hidrico,
aluminum palmitate,palmitato aluminico,
aluminum paste,pasta de aluminio,
aluminum phosphate,fosfato aluminico,
aluminum phosphide,fosfuro aluminico,
aluminum picrate,picrato aluminico,
aluminum potassium sulfate,sulfato aluminico-potásico,
aluminum resinate,resinato aluminico,
aluminum rubidium sulfate,sulfato aluminico-rubidico,
aluminum salicylate,salicilato aluminico,
aluminum silicate,silicato aluminico,
aluminum silicofluoride,silicofluoruro aluminico,
aluminum silicon,aluminio-silicio,
aluminum soaps,jabones aluminicos,
aluminum sodium chloride,cloruro aluminico-sódico,
aluminum sodium sulfate,sulfato aluminicosódico,
aluminum stearate,estearato aluminico,
aluminum subacetate,subacetato aluminico,
aluminum sulfate,sulfato aluminico,
aluminum sulfide,sulfuro aluminico,
aluminum sulfocarbolate,sulfocarbolato aluminico,
aluminum tartrate,tartrato aluminico,
aluminum thiocyanate ,tiocianato aluminico,
aluminum trialkyl,trialcohilo de aluminio,
aluminum tributyl,tributilo de aluminio,
aluminum triethyl,trietilo de aluminio,
aluminum triformate ,triformiato aluminico,
aluminum trimethyl,trimetilo de aluminio,
aluminum triricinoleate,trirricinoleato aluminico,
aluminum tristearate ,triestearato aluminico,
alum NF alumbre NF,alumbre NF,
"alum, papermakers",alumbre de los papeleros,
"alum, pearl",alumbre perlado,
"alum, pickle ",alumbre de curtido,
"alum, porous ",alumbre poroso,
"alum, potash ",alumbre de potasa,
"alum, rubidium ",alumbre rubidico,
"alum, soda",alumbre sódico,
alunite,alunita,
Amadori rearrangement,reordenación de Amadori,
amalgam,amalgama,
amanitin,amanitina,
amantadine hydrochloride,clorhidrato de amantadina,
amaranth,amaranto,
amatol,amatol,
amber,ámbar,
ambergris,ámbar gris,
ambient temperature,temperatura ambiente,
amblygonite,ambligonita,
ambomycin,ambomicina,
ambrettolide ambretólido,ambrettolide ambretólido,
americium americio,americium americio,
amethopterin ametopterina,amethopterin ametopterina,
amiben amibeno,amiben amibeno,
amide amida,amide amida,
amidinomycin amidinomicina,amidinomycin amidinomicina,
4-amidino-l-(nitrosamino amidino)-1-tetrazene,4-amidino-l-(nitrosamino amidino)-1-tetraceno,
amidopropylamine oxide,óxido de amidopropilamina,
aminacrine hydrochloride,clorhidrato de aminacrina,
amination,aminacion,
amine,amina,
amine 220,amina 220,
amine 248,amina 248,
amine absorption process,método de absorción por aminas,
aminimide,aminimida,
p-aminoacetanilide,p-aminoacetanifda,
aminoacetic acid,ácido aminoacético,
aminoacetophenetidide hydrochloride,clorhidrato de aminoacetotenetidida,
amino acid,aminoácido,
amino acid oxidase,aminoácido oxidasa,
aminoamylene glycol,aminoamilén glicol,
5-amino-2-aniliobenzenesulfonic acid,Ácido 5-amino-2-aniliobencenosulfónico,
o-aminoanisole,o-aminoanisol,
p-aminoanisole,p-aminoanisol,
aminoanthraquinone,aminoantraquinona,
4-aminoantipyrine,4-aminoantipirina,
p-aminoazobenzene,p-aminoazobenceno,
"4-aminoazobenzene-3,4'-disulfonic acid","ácido 4-aminoazobenceno-3,4'-disulfónico",
p-aminoazobenzene hydrochloride,clorhidrato de p-aminoazobenceno,
aminoazobenzenemonosulfonic acid,ácido aminoazobencenomonosulfónico,
o-aminoazotoluene,o-aminoazotolueno,
6-p-(p-aminobenzamido)benzamido-l-naphthol-3-sulfonic acid,ácido 6-p-(p-amino-benzamido)benzamido-l-naftol-3-sulfónico,
aminobenzene,aminobenceno,
p-aminobenzenearsonic acid,ácido aminobencenoarsónico,
2-amino-p-benzenedisulfonic acid,ácido 2-amino-p-benceno-disulfónico,
4-amino-m-benzenedisulfonic acid,ácido 4-amino-m-benceno-disulfónico,
m-aminobenzenesulfonic acid,ácido m-aminobencenosulfónico,
p-aminobenzenesulfonic acid,ácido p-aminobencenosulfónico,
m-aminobenzoic acid,ácido m-aminobenzoico,
o-aminobenzoic acid,ácido o-aminobenzoico,
p-aminobenzoic acid,ácido p-aminobenzoico,
2-aminobenzothiazole,2-aminobenzotiazol,
m-aminobenzotrifluoride,m-aminobenzotrifluoruro,
o-aminobenzoylformic anhydride,anhidrido o-aminobenzoilfórmico,
N-(p-aminobenzoyl)glycine,N-(p-aminobenzol)glicina,
o-aminobiphenyl,o-aminobifenilo,
1-aminobutane,1-aminobutano,
2-aminobutane,2-aminobutano,
aminobutanoic acid,ácido aminobutanoico,
2-amino-l-butanol,2-amino-l-butanol,
aminobutyric acid,ácido aminobutirico,
a-aminocaproic acid,a-ácido aminocaproico,
aminocaproic lactam,lactama aminocaproico,
aminochlorobenzene,aminoclorobenceno,
4-amino-4'-chlorodiphenyl,4-amino-4'-clorodifenilo,
2-amino-4-chlorophenol,2-amino-4-clorofenol,
2-amino-4-chlorotoluene,2-amino-4-clorotolueno,
2-amino-5-chlorotoluene,2-amino-5-clorotolueno,
2-amino-ó-chlorotoluene,2-amino-6-clorotolueno,
4-amino-2-chlorotoluene,4-amino-2-clorotolueno,
4-amino-2-chlorotoluene-5-sulfonic acid,ácido 4-amino-2-clorotolueno-5-sulfónico,
5-amino-2-chlorotoluene-4-sulfonic acid,ácido 5-amino-2-clorotolueno-4-sulfónico,
m-amino-p-cresol methyl ether,éter metílico del m-amino-p-cresol,
aminocyclohexane,aminociclohexano,
1-amino-dehydrogenase,1-amino deshidrogenasa,
"3-amino-2,5-dichlorobenzoic acid","3-amino-2,5-diclorobenzoico",
"2-amino-4,6-dichlorophenol","2-amino-4,6-diclorofenol",
p-aminodiethylaniline,p-aminodietilanilina,
p-aminodiethylaniline hydrochloride,clorhidrato de p-aminodietilanilina,
"2-amino-4,6-dihydroxypteridine","2-amino-4,6-dihidroxipteridina",
p-aminodimethylaniline,p-aminodimetilanifna,
aminodimethylbenzene,aminodimetilbenceno,
"2-amino-4,6-dimethylpyridine","2-amino-4,6-dimetilpiridina",
"2-amino-4,6-dinitrophenol","2-amino-4,6-dinitrofenol",
p-aminodiphenyl,p-aminodifenil,
p-aminodiphenylamine,p-aminodifenilamina,
4-aminodiphenylamine-2-sulfonic acid,ácido 4-aminodifenilamina-2-sulfónico,
aminodithioformic acid,ácido aminoditiofórmico,
aminoethane,aminoetano,
2-aminoethanesulfonic acid,ácido 2-aminoetanosulfónico,
2-aminoethanethiol,2-aminoetanotiol,
1-aminoethanol,1-aminoetanol,
2-aminoethanol,2-aminoetanol,
2-(2-aminoethoxy)ethanol,2-(2-aminoetoxi)etanol,
aminoethoxyvinylglycine,aminoetoxivinilglicina,
1-[(aminoethyl)aminol-2-propanol,1-[(aminoetil)amino]-2-propanol,
aminoethylethanolamine,aminoetiletanolamina,
4-aminoethylglyoxaline,4-aminoetilglioxalina,
4-(2-aminoethyl)imidazole,4-(2-aminoetil)imidazol,
?-aminoethylisothiourea dihydrobromide,dibromhidrato de ? -aminoetilisotiourea,
N-aminoethylpiperazine,N-aminoetilpiperazina,
"2-amino-2-ethyl-1,3-propanediol","2-amino-2-etil-1,3-propanodiol",
2-aminoethylsulfuric acid,ácido 2-aminoetilsulfúrico,
"3-amino-a-ethyl-2,4,ó-triiodohydrocinnamic acid","ácido 3-amino-a-etil-2,4,6-triyodohidrocinámico",
4-aminofolic acid,ácido 4-aminofólico,
aminoform,aminoformo,
amino-G acid,ácido amino-G,
a-aminoglutaric acid,ácido a-aminoglutárico,
amino-4-guanidovaleric acid,ácido amino-4-guanidovalérico,
aminohexamethyleneimine,aminohexametilenimina,
2-aminohexanoic acid,ácido 2-aminohexanoico,
6-aminohexanoic acid,ácido 6-aminohexanoico,
p-aminohippuric acid,ácido p-aminohipúrico,
aminohydroxybenzoic acids,ácidos aminohidroxibenzoicos,
a-amino- ?-hydroxybutyric acid,ácido a-amino- ?-hidroxibutírico,
"2-amino-2-hydroxymethyl-1,3-propanediol","2-amino-2-hidroximetil-1,3-propanodiol",
"a-amino-, ?-hydroxypropionic acid",ácido a-amino- ? -hidroxipropiónico,
a-amino- ? -imidazolepropionic acid,ácido aamino- ?-¡midazolpropiónico,
a-aminoisocaproic acid,ácido a-aminoisocaproico,
a-aminoisovaleric acid ácido,a-aminoisovalérico,
amino-J acid,ácido amino-J,
2-amino-ó-mercaptopurine,2-amino-ó-mercaptopurina,
aminomercuric chloride,cloruro aminomercúrico,
aminomethane,aminometano,
3-amino-4-methoxybenzanilide,3-amino-4-metoxibenzanilida,
1-amino-2-methoxy-5-methylbenzene,1-amino-2-metoxi-5-metilbenceno,
m-(4-amino-3-methoxyphenylazo) benzene-sulfonic acid,ácido m-(4-amino-3-me-toxifenilazo) bencenosulfónico,
4-amino-4'-methyldiphenylamine-2-sulfonic acid,ácido 4-amino-4'-metildifenilamino-2-sulfónico,
4-amino-10-methylfolic acid,ácido 4-amino-10-metilfólico,
3-amino-5-methylisoxazole,3-amino-5-metilisoxazol,
2-amino-3-methylpentanoic acid,ácido 2-amino-3-metilpentanoico,
"2-amino-2-methyl-1,3-propanediol","2-amino-2-metil-1,3-propanodiol",
2-amino-2-methyl-l-propanol,2-amino-2-metil-l-propanol,
2-amino-3-methylpyridine,2-amino-3-metilpiridina,
