English Terms,Spanish Terms,Dictionaries Used,Synonyms Used,Failed Words
"ammonium, nitrite, test, strip","amonio , nitrito , examinar, desvestir","Github, Github, Github, Github",,
enrichment,enriquecimiento,Mexican Laws,,
test,examinar,Github,,
"enrichment, stage","enriquecimiento, montar","Mexican Laws, Github",,
"primary, serum","primary, suero","None, Github",,primary
strip,desvestir,Github,,
measuring,medida,Github,measuring->measurement,
"analytical, test, strip","analytical, examinar, desvestir","None, Github, Github",,analytical
"ph, 7.0, mm, HEPES, buffer","ph, 7.0, mm, HEPES, tampón","None, None, None, None, Mexican Laws",,"ph, 7.0, mm, HEPES"
chemical,producto químico ,Github,,
"w, v, Os, tetroxide","w, v, Os, tetróxido ","Chemical Element, Chemical Element, None, Github",,Os
"positive, negative, NH4, gradient","positivo , negativo , NH4, ojo chueco","Github, Github, None, Github",gradient->slope,NH4
removal,mudanza ,Github,,
culture,cultura ,Github,,
concentration,concentración,Github,,
"occur, ammonium, removal, time","pronominal, amonio , mudanza , cronometrar","Github, Github, Github, Github",,
gradient,ojo chueco,Github,gradient->slope,
"catalytic, domain","catalítico, esfera ","Github, Github",,
"substrate, specificity",especificidad ,Github,,
domain,esfera ,Github,,
structure,estructura ,Github,,
mechanism,mecanismo ,Github,,
substrate,,,,
"novel, regulation","novela , reglamento ","Github, Github",,
protein,proteína,Github,,
"crystal, structure","cristal, estructura ","Github, Github",,
thioredoxin,thioredoxin,None,,thioredoxin
crystal,cristal,Github,,
"biochemical, process","bioquímico, proceso","Github, Github",,
"different, development, stage","diferente, desarrollo , montar","Github, Github, Github",,
"human, fetal, cerebrumandbelong","humano , fetal, cerebrumandbelong","Github, Github, None",,cerebrumandbelong
stage,montar,Github,,
"development, stage","desarrollo , montar","Github, Github",,
process,proceso,Github,,
organism,organismo ,Github,,
"agarose, gel","agarose, gel","None, Github",,agarose
adult,adulto ,Github,,
"amersham, hybond, nylon, membrane, filter","amersham, hybond, nilón, membrana , filtrar","None, None, Github, Github, Github",,"amersham, hybond"
nylon,nilón,Github,,
"hybond, nylon, membrane, filter","hybond, nilón, membrana , filtrar","None, Github, Github, Github",,hybond
"blotted, filter","manchar, filtrar","Github, Github",blotted->blot,
"human, fetal, cerebrum","humano , fetal, telencéfalo ","Github, Github, Github",,
gel,gel,Github,,
"33-week, old, human, fetal, cerebrum","33-week, antiguo, humano , fetal, telencéfalo ","None, Github, Github, Github, Github",,33-week
filter,filtrar,Github,,
"nylon, membrane, filter","nilón, membrana , filtrar","Github, Github, Github",,
formaldehyde,formaldehido,Github,,
RNA,RNA,None,,RNA
"fetal, cerebrum","fetal, telencéfalo ","Github, Github",,
"human, adult, mu, blotted, filter","humano , adulto , mu, manchar, filtrar","Github, Github, None, Github, Github",blotted->blot,mu
"m, formaldehyde","m, formaldehido","None, Github",,m
"human, adult, mu","humano , adulto , mu","Github, Github, None",,mu
"membrane, filter","membrana , filtrar","Github, Github",,
cerebrum,telencéfalo ,Github,,
"human, adult","humano , adulto ","Github, Github",,
"0.66, m, formaldehyde","0.66, m, formaldehido","None, None, Github",,"0.66, m"
agarose,agarose,None,,agarose
"total, RNA","total , RNA","Github, None",,RNA
biomass,biomasa,Mexican Laws,,
culture,cultura ,Github,,
"equalization, tank","igualador, tanque ","Mexican Laws, Github",equalization->leveling,
production,producción ,Github,,
inhibitor,inhibidor,Mexican Laws,,
"CO2, production","CO2, producción ","None, Github",,CO2
"ammonium, nitrite, concentration, decrease","amonio , nitrito , concentración, disminuir","Github, Github, Github, Github",,
"batch, culture","lote , cultura ","Github, Github",,
plant,plantar,Github,,
supplement,suplementario,Github,,
batch,lote ,Github,,
series,serie ,Github,,
decrease,disminuir,Github,,
"ammonium, nitrite, concentration","amonio , nitrito , concentración","Github, Github, Github",,
"inhibitor, supplement","inhibidor, suplementario","Mexican Laws, Github",,
month,mes ,Github,,
concentration,concentración,Github,,
"ammonium, removal","amonio , mudanza ","Github, Github",,
"time, point, concentration","cronometrar, indicar, concentración","Github, Github, Github",,
ammonium,amonio ,Github,,
time,cronometrar,Github,,
"time, point","cronometrar, indicar","Github, Github",,
"ammonium, removal, time","amonio , mudanza , cronometrar","Github, Github, Github",,
"NH4, gradient","NH4, ojo chueco","None, Github",gradient->slope,NH4
point,indicar,Github,,
serum,suero,Github,,
receptor,,,,
suspension,suspensión,Github,,
"suspension, 200, l","suspensión, 200, l","Github, None, None",,"200, l"
"minimum, essential, medium, MEM, buffer","mínimo, esencial, médium, MEM, tampón","Github, Github, Github, None, Mexican Laws",,MEM
albumin,albúmina,Github,,
"minimum, essential, medium","mínimo, esencial, médium","Github, Github, Github",,
"NPY, ry5, receptor","NPY, ry5","None, None",,"NPY, ry5"
bacitracin,bacitracina,Mexican Laws,,
"ry5, receptor",ry5,None,,ry5
cell,célula,Github,,
pefabloc,pefabloc,None,,pefabloc
medium,médium,Github,,
replacement,substituto ,Github,,
"space, group, C2","space, grupo, C2","None, Github, None",,"space, C2"
"cell, dimension","célula, dimensión ","Github, Github",,
"space, group","space, grupo","None, Github",,space
ammonium,amonio ,Github,,
"33, CNS, molecular, replacement","33, CNS, molecular, substituto ","None, None, Github, Github",,"33, CNS"
drop,caer,Github,,
"molecular, replacement","molecular, substituto ","Github, Github",,
"hang, drop","colgar, caer","Github, Github",,
crystal,cristal,Github,,
diffusion,difusión,Github,,
vapor,vapor,Github,,
resolution,resolución ,Github,,
"catalytic, domain","catalítico, esfera ","Github, Github",,
"ammonium, sulfate","amonio , sulfatar","Github, Github",,
domain,esfera ,Github,,
method,method,Github,,
structure,estructura ,Github,,
"2.2-A, resolution","2.2-A, resolución ","None, Github",,2.2-A
CNS,CNS,None,,CNS
"vapor, diffusion, method","vapor, difusión, method","Github, Github, Github",,
"htrxl, n, htrxl, catalytic, domain","htrxl, n, htrxl, catalítico, esfera ","None, Chemical Element, None, Github, Github",,"htrxl, htrxl"
sulfate,sulfatar,Github,,
replacement,substituto ,Github,,
"33, CNS","33, CNS","None, None",,"33, CNS"
"hang, drop, vapor, diffusion, method","colgar, caer, vapor, difusión, method","Github, Github, Github, Github, Github",,
"vapor, diffusion","vapor, difusión","Github, Github",,
similarity,semejanza ,Github,,
"vitro, muscle, smooth, similarity","vitro, músculo , alisar, semejanza ","None, Github, Github, Github",,vitro
"173, science","173, ciencia ","None, Github",,173
"granulation, tissue",tejido ,Github,,
granulation,,,,
tissue,tejido ,Github,,
muscle,músculo ,Github,,
science,ciencia ,Github,,
"1971, 548550, 173, science","1971, 548550, 173, ciencia ","None, None, None, Github",,"1971, 548550, 173"
"muscle, smooth, similarity","músculo , alisar, semejanza ","Github, Github, Github",,
"548550, 173, science","548550, 173, ciencia ","None, None, Github",,"548550, 173"
"scale, flexible, rapid, plasmid, preparation","costra de óxido balanza escala, , rápido, plásmido , preparación ","Github, Github, Github, Github, Github",flexible->elastic,
"rapid, plasmid, preparation","rápido, plásmido , preparación ","Github, Github, Github",,
clone,clonar,Github,,
scale,costra de óxido balanza escala,Github,,
analysis,análisis ,Github,,
preparation,preparación ,Github,,
"recombinant, clone",clonar,Github,,
"recombinant, clone, analysis","clonar, análisis ","Github, Github",,
resuspension,,,,
"E., coli, culture","E., coli, cultura ","None, None, Github",,"E., coli"
"rack, scrap, time","poltro , desguazar, cronometrar","Github, Github, Github",,
"sample, routine, preparation","samplear, actuar, preparación ","Github, Github, Github",routine->act,
protocol,,,,
time,cronometrar,Github,,
volume,volumen ,Github,,
min,minutar,Github,min->minute,
"10, min","10, minutar","None, Github",min->minute,10
"E., coli, culture, 10, ml","E., coli, cultura , 10, ml","None, None, Github, None, None",,"E., coli, 10, ml"
vortexi,vortexi,None,,vortexi
"vortexi, follow, rack, scrap, time","vortexi, seguir, poltro , desguazar, cronometrar","None, Github, Github, Github, Github",,vortexi
culture,cultura ,Github,,
rack,poltro ,Github,,
coli,coli,None,,coli
solution,solución ,Github,,
follow-,follow-,None,,follow-
"E., coli","E., coli","None, None",,"E., coli"
"solution, volume","solución , volumen ","Github, Github",,
sample,samplear,Github,,
"follow-, e, protocol","follow-, e","None, None",,"follow-, e"
"10, ml","10, ml","None, None",,"10, ml"
preparation,preparación ,Github,,
"routine, preparation","actuar, preparación ","Github, Github",routine->act,
biotechnology,biotecnologia,Github,,
ligand,ligando,Mexican Laws,,
"novel, reporter, gene, assay, system","novela , reportero , gen, aquilatar, sistema ","Github, Github, Github, Github, Github",,
reporter,reportero ,Github,,
"assay, system","aquilatar, sistema ","Github, Github",,
gene,gen,Github,,
interaction,interacción ,Github,,
nature,naturaleza ,Github,,
right,corregir,Github,,
"whatsoever, nature, right","alguno , naturaleza , corregir","Github, Github, Github",whatsoever->any,
"2002, molecular, biotechnology","2002, molecular, biotecnologia","None, Github, Github",,2002
assay,aquilatar,Github,,
"novel, reporter, gene","novela , reportero , gen","Github, Github, Github",,
"whatsoever, nature","alguno , naturaleza ","Github, Github",whatsoever->any,
"molecular, biotechnology","molecular, biotecnologia","Github, Github",,
system,sistema ,Github,,
"reporter, gene","reportero , gen","Github, Github",,
"ligand, interaction","ligando, interacción ","Mexican Laws, Github",,
"T4-DNA, polymerase","T4-DNA, polimerasa ","None, Github",,T4-DNA
promoter,,,,
"pcregfp, plasmid","pcregfp, plásmido ","None, Github",,pcregfp
backbone,espina dorsal ,Github,,
"T4-DNA, polymerase, overhang","T4-DNA, polimerasa , escarabajo ","None, Github, Github",overhang->beetle,T4-DNA
"CMV, promoter",CMV,None,,CMV
polymerase,polimerasa ,Github,,
overhang,escarabajo ,Github,overhang->beetle,
step,caminar,Github,,
"CMV, promoter, removal","CMV, mudanza ","None, Github",,CMV
plasmid,plásmido ,Github,,
removal,mudanza ,Github,,
"life, technologies, gibco, backbone","vida , tecnología , gibco, espina dorsal ","Github, Github, None, Github",technologies->technology,gibco
"calf, serum","cría , suero","Github, Github",,
cell,célula,Github,,
"reporter, system","reportero , sistema ","Github, Github",,
"c, b, 99.59, 29.8, a","c, b, 99.59, 29.8, a","Chemical Element, Chemical Element, None, None, None",,"99.59, 29.8, a"
"b, 99.59, 29.8, a","b, 99.59, 29.8, a","Chemical Element, None, None, None",,"99.59, 29.8, a"
"molecular, replacement","molecular, substituto ","Github, Github",,
space,space,None,,space
"48.5, a","48.5, a","None, None",,"48.5, a"
crystal,cristal,Github,,
"b, 48.5, a","b, 48.5, a","Chemical Element, None, None",,"48.5, a"
"29.8, a","29.8, a","None, None",,"29.8, a"
cell,célula,Github,,
group,grupo,Github,,
datum,dato ,Github,,
unit,unidad ,Github,,
structure,estructura ,Github,,
"datum, statistic","dato , statistic","Github, None",,statistic
statistic,statistic,None,,statistic
"unit, cell, dimension","unidad , célula, dimensión ","Github, Github, Github",,
dimension,dimensión ,Github,,
"87.5, a","87.5, a","None, None",,"87.5, a"
specificity,especificidad ,Github,,
"novel, regulation, mechanism","novela , reglamento , mecanismo ","Github, Github, Github",,
regulation,reglamento ,Github,,
"fetal, cerebrumandbelong","fetal, cerebrumandbelong","Github, None",,cerebrumandbelong
"ubiquitous, dithiol, oxidoreductase","ubicuo, dithiol","Github, None",,dithiol
"htrxl, human, thioredoxin, like, protein","htrxl, humano , thioredoxin, gustar [with subject and object reversed], proteína","None, Github, None, Github, Github",,"htrxl, thioredoxin"
"numerous, biochemical, process","numeroso , bioquímico, proceso","Github, Github, Github",,
cerebrumandbelong,cerebrumandbelong,None,,cerebrumandbelong
"human, thioredoxin, like, protein","humano , thioredoxin, gustar [with subject and object reversed], proteína","Github, None, Github, Github",,thioredoxin
thioredoxin,thioredoxin,None,,thioredoxin
oxidoreductase,,,,
protein,proteína,Github,,
"dithiol, oxidoreductase",dithiol,None,,dithiol
development,desarrollo ,Github,,
equalization,igualador,Mexican Laws,equalization->leveling,
ammonium,amonio ,Github,,
reaction,reacción de Refor­matskii,Github,,
"AAAO, culture","AAAO, cultura ","None, Github",,AAAO
enrichment,enriquecimiento,Mexican Laws,,
removal,mudanza ,Github,,
characteristic,característica ,Github,,
wall,amurallar,Github,,
"ml, centri-","ml, centri-","None, None",,"ml, centri-"
"coke, oven, wastewater, treatment, plant","coque, horno, efluente, trato , plantar","Github, Github, Mexican Laws, Github, Github",wastewater->effluent,
plant,plantar,Github,,
"tubing, wall, attach, biofilm","metro , amurallar, anexar, biofilm","Github, Github, Github, None",tubing->tube,biofilm
"essential, component","esencial, componente","Github, Github",,
centri-,centri-,None,,centri-
wastewater,efluente,Mexican Laws,wastewater->effluent,
coke,coque,Github,,
biofilm,biofilm,None,,biofilm
"15, ml, centri-","15, ml, centri-","None, None, None",,"15, ml, centri-"
"15, ml, centri-, table","15, ml, centri-, tabular","None, None, None, Github",,"15, ml, centri-"
"tubing, wall","metro , amurallar","Github, Github",tubing->tube,
"wastewater, treatment","efluente, trato ","Mexican Laws, Github",wastewater->effluent,
influent,,,,
tubing,metro ,Github,tubing->tube,
component,componente,Github,,
table,tabular,Github,,
concentration,concentración,Github,,
treatment,trato ,Github,,
"wastewater, treatment, plant","efluente, trato , plantar","Mexican Laws, Github, Github",wastewater->effluent,
serum,suero,Github,,
"primary, serum, bottle, culture","primary, suero, embotellar, cultura ","None, Github, Github, Github",,primary
stage,montar,Github,,
ammonium,amonio ,Github,,
"initial, enrichment, stage","inicial, enriquecimiento, montar","Github, Mexican Laws, Github",,
"merckoquant, analytical, test, strip","merckoquant, analytical, examinar, desvestir","None, None, Github, Github",,"merckoquant, analytical"
development,desarrollo ,Github,,
"compensation, principle",principio ,Github,,
"large, scale, development, project","grande, costra de óxido balanza escala, desarrollo , proyecto ","Github, Github, Github, Github",,
"development, project","desarrollo , proyecto ","Github, Github",,
scale,costra de óxido balanza escala,Github,,
"adverse, ecological, impact","opuesto, ecológico, impacto ","Github, Github, Github",,
impact,impacto ,Github,,
implementation,implementación ,Github,,
basis,base ,Github,,
"dutch, policy, document","neerlandés , política , documentar ","Github, Github, Github",,
compensation,,,,
"land, development, project, conservation, aspect","parte destalonada, desarrollo , proyecto , aspecto ","Github, Github, Github, Github",,
"voluntary, basis","voluntario, base ","Github, Github",,
"compensation, measure",medir,Github,,
option,opción ,Github,,
"conservation, aspect",aspecto ,Github,,
"different, selective, NPY, analog","diferente, selectivo, NPY, ","Github, Github, None, Github",analog->analogue,NPY
"nm, IC50, y5-receptor, selective, pnpy","nm, IC50, y5-receptor, selectivo, pnpy","None, None, None, Github, None",,"nm, IC50, y5-receptor, pnpy"
"y2-receptor, selective, pnpy","y2-receptor, selectivo, pnpy","None, Github, None",,"y2-receptor, pnpy"
"MOLECULAR, BIOTECHNO","MOLECULAR, BIOTECHNO","None, None",,"MOLECULAR, BIOTECHNO"
NPY,NPY,None,,NPY
"3H, propionyl, NPY, MOLECULAR, BIOTECHNO","3H, propionyl, NPY, MOLECULAR, BIOTECHNO","None, None, None, None, None",,"3H, propionyl, NPY, MOLECULAR, BIOTECHNO"
"3H, propionyl","3H, propionyl","None, None",,"3H, propionyl"
"ry5, cell","ry5, célula","None, Github",,ry5
"NPY, MOLECULAR, BIOTECHNO","NPY, MOLECULAR, BIOTECHNO","None, None, None",,"NPY, MOLECULAR, BIOTECHNO"
"radioligand, binding, study","radioligand, esconder, estudiar","None, Github, Github",binding->cover,radioligand
"reporter, gene, calculate, EC50, value","reportero , gen, calcular, EC50, valor","Github, Github, Github, None, Github",,EC50
"binding, study","esconder, estudiar","Github, Github",binding->cover,
"IC50, value","IC50, valor","None, Github",,IC50
BIOTECHNO,BIOTECHNO,None,,BIOTECHNO
cell,célula,Github,,
"reporter, gene","reportero , gen","Github, Github",,
"bovine, serum, albumin","bovino , suero, albúmina","Github, Github, Github",,
"0.1, bacitracin","0.1, bacitracina","None, Mexican Laws",,0.1
"bind, study","aglutinar, estudiar","Github, Github",,
study,estudiar,Github,,
"200, l","200, l","None, None",,"200, l"
buffer,tampón,Mexican Laws,,
"serum, albumin","suero, albúmina","Github, Github",,
incubation,,,,
promotor,promotor,None,,promotor
receptor,,,,
"novel, reporter, gene, assay, system","novela , reportero , gen, aquilatar, sistema ","Github, Github, Github, Github, Github",,
"signal, transduction",señalar,Github,,
"campresponse, element, bin","campresponse, elemento, caneca","None, Github, Github",,campresponse
"ligand, receptor",ligando,Mexican Laws,,
camp,acampar,Github,,
interaction,interacción ,Github,,
order,ordenar,Github,,
"CRE, element","CRE, elemento","None, Github",,CRE
reporter,reportero ,Github,,
system,sistema ,Github,,
ligand,ligando,Mexican Laws,,
"campresponse, element","campresponse, elemento","None, Github",,campresponse
cell,célula,Github,,
signal,señalar,Github,,
"camp, dependent, signal, transduction","acampar, dependiente , señalar","Github, Github, Github",,
bin,caneca,Github,,
"novel, reporter, gene","novela , reportero , gen","Github, Github, Github",,
element,elemento,Github,,
"novel, reporter","novela , reportero ","Github, Github",,
gene,gen,Github,,
"non, divide, branched, mycelium","no, desunir, ramificar, micelio ","Github, Github, Github, Github","non->not, branched->ramify",
"escherichia, coli",coli,None,,coli
hyphal,hyphal,None,,hyphal
"tip, growth","dar propina, crecimiento","Github, Github",,
fission,fisionar,Github,,
tip,dar propina,Github,,
coli,coli,None,,coli
"multiple, copy","múltiplo , recibir","Github, Github",,
coelicolor,coelicolor,None,,coelicolor
"hyphal, compartment","hyphal, compartimiento ","None, Github",,hyphal
copy,recibir,Github,,
"binary, fission","binario, fisionar","Mexican Laws, Github",,
conservation,,,,
project,proyecto ,Github,,
"land, development","parte destalonada, desarrollo ","Github, Github",,
"several, year","varios, año ","Github, Github",,
document,documentar ,Github,,
development,desarrollo ,Github,,
year,año ,Github,,
policy,política ,Github,,
"land, development, project","parte destalonada, desarrollo , proyecto ","Github, Github, Github",,
"policy, document","política , documentar ","Github, Github",,
aspect,aspecto ,Github,,
land,parte destalonada,Github,,
measure,medir,Github,,
"seven, highway, basic, datum","siete, carretera , básico, dato ","Github, Github, Github, Github",,
datum,dato ,Github,,
highway,carretera ,Github,,
"seven, highway","siete, carretera ","Github, Github",,
"associated, cp","relacionar, cp","Github, None",associated->associate,cp
"project, initiator","proyecto , iniciador","Github, Mexican Laws",,
project,proyecto ,Github,,
figure,ocurrírsele,Github,,
"figure, table","ocurrírsele, tabular","Github, Github",,
"basic, datum","básico, dato ","Github, Github",,
initiator,iniciador,Mexican Laws,,
table,tabular,Github,,
experience,experimentar,Github,,
compensation,,,,
"first, generation, compensation, plan","primero , generación , planear","Github, Github, Github",,
highway,carretera ,Github,,
"seven, highway, development, project","siete, carretera , desarrollo , proyecto ","Github, Github, Github, Github",,
"highway, development, project","carretera , desarrollo , proyecto ","Github, Github, Github",,
principle,principio ,Github,,
generation,generación ,Github,,
plan,planear,Github,,
"compensation, plan",planear,Github,,
development,desarrollo ,Github,,
"highway, development","carretera , desarrollo ","Github, Github",,
conclusion,conclusión ,Github,,
"1993, compensation, principle","1993, principio ","None, Github",,1993
assessment,evaluación ,Github,,
"first, generation","primero , generación ","Github, Github",,
"cp, first, generation, compensation, plan","cp, primero , generación , planear","None, Github, Github, Github",,cp
"1993, compensation",1993,None,,1993
project,proyecto ,Github,,
"initial, experience","inicial, experimentar","Github, Github",,
basis,base ,Github,,
evaluation,evaluación ,Github,,
role,rol ,Github,,
success,éxito ,Github,,
"restoration, success","restauración , éxito ","Github, Github",,
art,arte ,Github,,
transaction,transacción ,Github,,
"1998, J., art","1998, J., arte ","None, None, Github",,"1998, J."
"en, ex, post, evaluation, role","en, ex, poste , evaluación , rol ","None, None, Github, Github, Github",,"en, ex"
"ex, post, evaluation","ex, poste , evaluación ","None, Github, Github",,ex
"post, evaluation","poste , evaluación ","Github, Github",,
"conceptual, basis",base ,Github,,
follow,seguir,Github,,
"restoration, success, evaluate, conceptual, basis","restauración , éxito , medir, base ","Github, Github, Github, Github",evaluate->measure,
post,poste ,Github,,
restoration,restauración ,Github,,
"ex, post, evaluation, role","ex, poste , evaluación , rol ","None, Github, Github, Github",,ex
genome,genoma ,Github,,
model,modelo,Github,,
